frame_number,track_id,x1,y1,x2,y2
22,3,1083,192,2094,448
22,4,513,457,1061,980
22,5,345,268,636,619
22,6,1163,354,2351,802
22,7,991,91,1897,227
22,8,1181,136,2253,326
22,9,658,161,1208,384
22,10,946,202,1836,478
22,11,1393,255,2600,589
22,12,1129,139,2285,331
22,13,632,406,1246,912
22,14,842,101,1592,257
22,15,852,56,1624,155
22,16,987,228,1698,526
22,17,655,412,1223,921
22,18,588,414,1128,906
22,20,946,437,1867,965
22,26,908,229,1749,535
22,32,928,431,1868,960
23,2,732,163,1359,397
23,3,1088,192,2113,451
23,4,515,458,1066,982
23,5,351,269,648,620
23,6,1162,355,2352,803
23,7,998,92,1918,230
23,8,1197,137,2272,327
23,9,663,162,1225,386
23,10,952,203,1851,480
23,11,1406,254,2612,588
23,12,1142,139,2305,332
23,13,639,405,1252,911
23,14,851,102,1611,258
23,15,861,55,1642,155
23,16,1005,228,1716,527
23,17,659,407,1240,917
23,18,593,413,1139,903
23,20,945,435,1872,964
23,26,918,231,1767,537
23,32,932,424,1873,953
24,2,739,163,1375,397
24,3,1093,193,2125,452
24,4,516,460,1067,984
24,5,353,269,655,620
24,6,1160,357,2354,806
24,7,1003,92,1935,231
24,8,1212,137,2292,328
24,9,669,162,1241,387
24,10,957,204,1862,481
24,11,1419,254,2623,587
24,12,1153,139,2323,332
24,13,645,405,1258,910
24,14,856,101,1626,258
24,15,866,56,1656,156
24,16,1022,229,1733,527
24,17,660,405,1251,915
24,18,596,412,1146,900
24,20,942,433,1869,959
24,26,926,232,1784,539
24,32,936,416,1878,947
24,35,930,204,1881,481
24,36,896,231,1807,538
25,2,740,164,1386,398
25,3,1094,194,2132,453
25,4,519,460,1071,984
25,5,351,269,658,620
25,6,1159,358,2358,809
25,7,1004,93,1947,232
25,8,1227,138,2311,330
25,9,673,163,1254,388
25,10,968,205,1875,483
25,11,1432,254,2635,587
25,12,1160,138,2338,333
25,13,651,404,1263,909
25,14,857,102,1637,260
25,15,869,56,1668,156
25,16,1039,229,1751,528
25,17,658,403,1256,911
25,18,595,411,1151,899
25,20,935,431,1861,954
25,26,933,232,1797,540
25,32,940,409,1883,940
25,35,934,206,1884,483
25,36,905,233,1817,540
26,2,738,163,1393,398
26,3,1095,195,2135,453
26,4,514,462,1066,985
26,5,346,268,658,620
26,6,1172,360,2347,800
26,7,1005,92,1955,232
26,8,1242,139,2330,331
26,9,674,163,1263,389
26,10,959,208,1869,485
26,11,1445,254,2646,586
26,12,1164,138,2346,333
26,13,657,403,1269,908
26,14,856,103,1645,261
26,15,866,56,1678,158
26,16,1057,229,1768,528
26,17,653,403,1257,910
26,18,586,411,1146,899
26,20,926,430,1853,951
26,26,946,233,1813,541
26,32,944,402,1888,933
26,35,934,208,1884,485
26,36,910,233,1825,540
27,2,735,164,1399,400
27,3,1093,197,2134,454
27,4,510,460,1062,984
27,5,335,268,651,620
27,6,1156,360,2346,806
27,7,1007,92,1956,231
27,8,1257,140,2349,333
27,9,673,163,1269,388
27,10,968,209,1880,486
27,11,1458,254,2658,586
27,12,1168,137,2354,333
27,13,663,402,1275,906
27,14,855,103,1651,262
27,15,862,58,1684,160
27,16,1074,230,1786,528
27,17,643,403,1254,910
27,18,578,412,1143,900
27,20,912,431,1840,951
27,26,959,234,1828,542
27,32,948,394,1893,926
27,35,934,209,1880,485
27,36,913,234,1829,542
28,2,732,164,1404,400
28,3,1083,199,2137,458
28,4,500,459,1051,982
28,5,325,268,645,621
28,6,1142,359,2338,809
28,7,997,92,1961,233
28,8,1272,140,2369,334
28,9,670,163,1272,388
28,10,978,209,1891,487
28,11,1472,254,2669,585
28,12,1170,137,2360,333
28,13,674,482,1293,986
28,14,866,104,1665,263
28,15,860,60,1685,162
28,16,1091,230,1803,529
28,17,634,406,1245,907
28,18,573,414,1142,902
28,20,893,431,1821,951
28,26,972,234,1843,544
28,32,952,387,1898,919
28,35,929,210,1875,485
28,36,914,234,1830,541
29,2,729,164,1406,400
29,3,1076,200,2137,461
29,4,487,455,1038,979
29,5,317,269,640,623
29,6,1123,359,2320,809
29,7,991,93,1960,234
29,8,1287,141,2388,336
29,9,667,163,1271,387
29,10,987,210,1902,489
29,11,1485,253,2681,584
29,12,1172,137,2368,334
29,13,670,486,1297,993
29,14,877,104,1679,264
29,15,857,61,1682,163
29,16,1109,230,1821,529
29,17,619,409,1233,910
29,18,568,415,1140,903
29,20,875,430,1802,950
29,26,985,235,1858,545
29,32,956,379,1903,912
29,35,924,209,1869,485
29,36,914,233,1830,540
29,39,822,106,1673,264
30,2,726,165,1405,400
30,3,1069,199,2134,460
30,4,493,452,1035,966
30,5,312,270,636,624
30,6,1104,359,2298,809
30,7,988,94,1959,235
30,8,1303,142,2407,337
30,9,662,163,1271,387
30,10,996,211,1913,490
30,11,1498,253,2692,584
30,12,1172,138,2372,335
30,13,668,487,1295,990
30,14,888,104,1693,265
30,15,848,60,1683,163
30,16,1126,231,1838,530
30,17,605,411,1225,915
30,18,564,416,1138,903
30,20,862,428,1760,931
30,26,998,236,1873,546
30,32,855,427,1762,937
30,35,919,209,1863,484
30,36,913,233,1831,540
30,39,821,106,1671,264
31,2,723,164,1404,398
31,3,1063,198,2130,459
31,4,477,448,1026,970
31,5,306,270,630,625
31,6,1091,360,2279,809
31,7,982,95,1958,236
31,8,1318,143,2426,339
31,9,656,162,1270,387
31,10,1005,212,1924,492
31,11,1511,253,2704,583
31,12,1171,139,2374,336
31,13,663,487,1292,988
31,14,899,105,1707,266
31,15,842,58,1680,162
31,16,1144,231,1856,530
31,17,598,413,1219,916
31,18,560,414,1137,902
31,20,843,427,1724,920
31,26,1012,236,1888,548
31,32,824,429,1734,944
31,35,913,209,1857,484
31,36,912,233,1832,540
31,39,819,106,1670,265
31,40,745,84,1500,180
32,2,719,163,1402,396
32,3,1056,198,2126,460
32,4,471,444,1020,970
32,5,300,271,624,625
32,6,1077,363,2261,812
32,7,979,95,1955,237
32,8,1333,143,2446,340
32,9,649,162,1267,387
32,10,1015,213,1935,493
32,11,1524,253,2715,583
32,12,1170,140,2374,338
32,13,658,486,1288,985
32,14,910,105,1721,267
32,15,837,57,1674,160
32,16,1161,231,1873,530
32,17,584,412,1202,914
32,18,557,412,1136,901
32,20,810,426,1707,930
32,26,1025,237,1903,549
32,32,831,426,1712,924
32,35,934,209,1817,464
32,36,910,232,1831,540
32,39,818,105,1667,263
32,40,745,84,1500,179
33,2,712,163,1399,397
33,3,1046,198,2121,461
33,4,467,441,1014,968
33,5,291,270,616,625
33,6,1069,364,2249,813
33,7,976,96,1951,237
